title,url
Royal Society cautions against censorship of scientific misinformation online,https://royalsociety.org/news/2022/01/scientific-misinformation-report/
Show HN: Web page that parses and explains the label on a bike tire,https://fahrrad-tools.de/tire.html
Don't forget Microsoft,https://luttig.substack.com/p/dont-forget-microsoft
A UX designer walks into a Tesla Bar,https://jenson.org/tesla/
Hypercard Simulator,https://hypercardsimulator.com/
Operation Warp Speed: A new model for industrial policy,https://americanaffairsjournal.org/2021/05/inside-operation-warp-speed-a-new-model-for-industrial-policy/
Deep symbolic regression for recurrent sequences,http://recur-env.eba-rm3fchmn.us-east-2.elasticbeanstalk.com/
The case of the mysterious --help directory (2020),https://leahneukirchen.org/blog/archive/2020/05/the-case-of-the-mysterious-help-directory.html
When the algorithm is your boss,https://tribunemag.co.uk/2022/01/amazon-algorithm-human-resource-management-tech-worker-surveillance
BuildZoom (better way to build custom homes) Is hiring a Principal Engineer,https://jobs.lever.co/buildzoom
The Great Unconformity: Research points to glaciers being the culprit,https://www.vice.com/en/article/wxdzzb/a-billion-years-of-time-are-mysteriously-missing-scientists-think-they-know-why
The Story of Maxis Software (1999),https://web.archive.org/web/19991012021220/http://gamespot.com/features/maxis/index.html
Beancount: Double-entry accounting from text files,https://github.com/beancount/beancount
FunctionStomping – A new shellcode injection technique,https://github.com/Idov31/FunctionStomping
Message in a bottle from Scottish girl found in Norway after 25 years,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-60121185
In defence of the boring web,https://bastian.rieck.me/blog/posts/2022/boring/
Sega quits arcade business after 50 years,https://www.eurogamer.net/articles/2022-01-28-sega-quits-japanese-arcade-business-after-50-years
Midnight Commander Tips and Tricks,http://www.softpanorama.org/OFM/MC/mc_tips.shtml
A Padlock I’d Use [video],https://www.youtube.com/watch?v=HrV86GqlY8o
U.S. companies are hiring Latin America’s tech talent,https://restofworld.org/2022/latin-america-startup-developer-scarcity/
